Acer;планшет;Iconia;Икония;1;Acer Iconia A511;Асер Икония А511;A511;A;Iconia;А511;А;Икония;А511
Acer;планшет;Iconia;Икония;1;Acer Iconia A700;Асер Икония А700;A700;A;Iconia;А700;А;Икония;А700
Acer;планшет;Iconia;Икония;1;Acer Iconia A701;Асер Икония А701;A701;A;Iconia;А701;А;Икония;А701
Acer;планшет;Iconia;Икония;1;Acer Iconia B1-710;Асер Икония В1-710;B1-710;B1;Iconia;В1-710;Б1;Икония;В1 710
Acer;планшет;Iconia;Икония;1;Acer Iconia B1-711;Асер Икония В1-711;B1-711;B1;Iconia;В1-711;Б1;Икония;В1 711
Acer;планшет;Iconia;Икония;1;Acer Iconia B1-720;Асер Икония В1-720;B1-720;B1;Iconia;В1-720;Б1;Икония;В1 720
Acer;планшет;Iconia;Икония;1;Acer Iconia B1-721;Асер Икония В1-721;B1-721;B1;Iconia;В1-721;Б1;Икония;В1 721
Acer;планшет;Iconia;Икония;1;Acer Iconia B1-A71;Асер Икония В1-А71;B1-A71;B1;Iconia;В1-А71;Б1;Икония;В1 А71
Acer;планшет;Iconia One;Икония Оне;1;Acer Iconia One 10 B3-A10;Асер Икония Оне 10 В3-А10;10 B3-A10;B3;Iconia One;10 В3-А10;Б3;Икония Оне;10 В3 А10
Acer;планшет;Iconia One;Икония Оне;1;Acer Iconia One 10 B3-A20;Асер Икония Оне 10 В3-А20;10 B3-A20;B3;Iconia One;10 В3-А20;Б3;Икония Оне;10 В3 А20
Acer;планшет;Iconia One;Икония Оне;1;Acer Iconia One 10 B3-A20B;Асер Икония Оне 10 В3-А20В;10 B3-A20B;B3;Iconia One;10 В3-А20В;Б3;Икония Оне;10 В3 А20В
Acer;планшет;Iconia One;Икония Оне;1;Acer Iconia One 10 B3-A30;Асер Икония Оне 10 В3-А30;10 B3-A30;B3;Iconia One;10 В3-А30;Б3;Икония Оне;10 В3 А30
Acer;планшет;Iconia One;Икония Оне;1;Acer Iconia One 7 B1-730;Асер Икония Оне 7 В1-730;7 B1-730;B1;Iconia One;7 В1-730;Б1;Икония Оне;7 В1 730
Acer;планшет;Iconia One;Икония Оне;1;Acer Iconia One 7 B1-730HD;Асер Икония Оне 7 В1-730;7 B1-730HD;B1;Iconia One;7 В1-730;Б1;Икония Оне;7 В1 730
Acer;планшет;Iconia One;Икония Оне;1;Acer Iconia One 7 B1-740;Асер Икония Оне 7 В1-740;7 B1-740;B1;Iconia One;7 В1-740;Б1;Икония Оне;7 В1 740
Acer;планшет;Iconia One;Икония Оне;1;Acer Iconia One 7 B1-750;Асер Икония Оне 7 В1-750;7 B1-750;B1;Iconia One;7 В1-750;Б1;Икония Оне;7 В1 750
