тип;марка;линейка;модель;популярн;модель целиком;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab A510 32Gb ;;acer Iconia Tab A510 32Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab A511 32Gb ;;acer Iconia Tab A511 32Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab A701 32Gb ;;acer Iconia Tab A701 32Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab B1-710 16Gb ;;acer Iconia Tab B1-710 16Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab B1-710 8Gb ;;acer Iconia Tab B1-710 8Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab B1-711 16Gb ;;acer Iconia Tab B1-711 16Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab B1-721 16Gb ;;acer Iconia Tab B1-721 16Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab B1-A71 16Gb ;;acer Iconia Tab B1-A71 16Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab W3-810 32Gb ;;acer Iconia Tab W3-810 32Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab W4-821 64Gb ;;acer Iconia Tab W4-821 64Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab W500 ;;acer Iconia Tab W500 ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab W500 dock ;;acer Iconia Tab W500 dock ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab W500P ;;acer Iconia Tab W500P ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab W500P dock ;;acer Iconia Tab W500P dock ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab W501 ;;acer Iconia Tab W501 ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab W511 64Gb ;;acer Iconia Tab W511 64Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab W511 64Gb dock ;;acer Iconia Tab W511 64Gb dock ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab W700 64Gb ;;acer Iconia Tab W700 64Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab W701 120Gb ;;acer Iconia Tab W701 120Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab W701 120Gb dock ;;acer Iconia Tab W701 120Gb dock ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab W701 i3 60Gb ;;acer Iconia Tab W701 i3 60Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab W701 i3 60Gb dock ;;acer Iconia Tab W701 i3 60Gb dock ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab W701 i5 60Gb ;;acer Iconia Tab W701 i5 60Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Tab W701 i5 60Gb dock ;;acer Iconia Tab W701 i5 60Gb dock ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Talk B1-723 16Gb ;;acer Iconia Talk B1-723 16Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Talk B1-733 16Gb ;;acer Iconia Talk B1-733 16Gb ;;;;;;;;;;;;;;;
