тип;марка;линейка;модель;популярн;модель целиком;;;;;;;;;;;;;;;
планшет;asus;Transformer;Pad TF300TG 16Gb 3G ;;asus Transformer Pad TF300TG 16Gb 3G ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Pad TF300TG 16Gb 3G dock ;;asus Transformer Pad TF300TG 16Gb 3G dock ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Pad TF300TG 32Gb 3G ;;asus Transformer Pad TF300TG 32Gb 3G ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Pad TF300TG 32Gb 3G dock ;;asus Transformer Pad TF300TG 32Gb 3G dock ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Pad TF300TL 16Gb LTE ;;asus Transformer Pad TF300TL 16Gb LTE ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Pad TF300TL 16Gb LTE dock ;;asus Transformer Pad TF300TL 16Gb LTE dock ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Pad TF303CL 16Gb LTE ;;asus Transformer Pad TF303CL 16Gb LTE ;;;;;;;;;;;;;;;
планшет;asus;Transformer;Pad TF303CL 16Gb LTE dock ;;asus Transformer Pad TF303CL 16Gb LTE dock ;;;;;;;;;;;;;;;
планшет;asus;Eee;Pad Transformer TF101 16Gb ;;asus Eee Pad Transformer TF101 16Gb ;;;;;;;;;;;;;;;
планшет;asus;Eee;Pad Transformer TF101 32Gb ;;asus Eee Pad Transformer TF101 32Gb ;;;;;;;;;;;;;;;
планшет;asus;Eee;Pad Transformer TF101G 32Gb 3G ;;asus Eee Pad Transformer TF101G 32Gb 3G ;;;;;;;;;;;;;;;
ноутбук;asus;eee;pc 4g ;;asus eee pc 4g ;;;;;;;;;;;;;;;
планшет;asus;VivoTab;RT TF600T 32Gb ;;asus VivoTab RT TF600T 32Gb ;;;;;;;;;;;;;;;
планшет;asus;VivoTab;RT TF600T 64Gb ;;asus VivoTab RT TF600T 64Gb ;;;;;;;;;;;;;;;
планшет;asus;VivoTab;RT TF600T 64Gb dock ;;asus VivoTab RT TF600T 64Gb dock ;;;;;;;;;;;;;;;
планшет;asus;VivoTab;RT TF600TG 32Gb 3G ;;asus VivoTab RT TF600TG 32Gb 3G ;;;;;;;;;;;;;;;
планшет;asus;VivoTab;RT TF600TG 32Gb 3G dock ;;asus VivoTab RT TF600TG 32Gb 3G dock ;;;;;;;;;;;;;;;
телефон;ASUS;Zenfone;Selfie ;1;ASUS Zenfone Selfie ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;Selfie ZD551KL 32GB ;;ASUS ZenFone Selfie ZD551KL 32GB ;;;;;;;;;;;;;;;
планшет;asus;Eee;Slate B121 ;;asus Eee Slate B121 ;;;;;;;;;;;;;;;
планшет;asus;Eee;Slate EP121 ;;asus Eee Slate EP121 ;;;;;;;;;;;;;;;
планшет;asus;VivoTab;Smart ME400C 64Gb ;;asus VivoTab Smart ME400C 64Gb ;;;;;;;;;;;;;;;
планшет;asus;VivoTab;Smart ME400CL 64Gb LTE ;;asus VivoTab Smart ME400CL 64Gb LTE ;;;;;;;;;;;;;;;
планшет;asus;VivoTab;TF810С 64Gb ;;asus VivoTab TF810С 64Gb ;;;;;;;;;;;;;;;
планшет;asus;VivoTab;TF810С 64Gb dock ;;asus VivoTab TF810С 64Gb dock ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;Zoom ;1;ASUS ZenFone Zoom ;;;;;;;;;;;;;;;
телефон;ASUS;ZenFone;Zoom 64Gb ;;ASUS ZenFone Zoom 64Gb ;;;;;;;;;;;;;;;
планшет;dell;Streak;5;;dell Streak 5;;;;;;;;;;;;;;;
ноутбук;dell;xps;12;;dell xps 12;;;;;;;;;;;;;;;
ноутбук;dell;xps;15;;dell xps 15;;;;;;;;;;;;;;;
ноутбук;dell;inspiron;1564;;dell inspiron 1564;;;;;;;;;;;;;;;
ноутбук;dell;inspiron;1570;;dell inspiron 1570;;;;;;;;;;;;;;;
ноутбук;dell;inspiron;3162;;dell inspiron 3162;;;;;;;;;;;;;;;
ноутбук;dell;inspiron;3567;;dell inspiron 3567;;;;;;;;;;;;;;;
ноутбук;dell;vostro;3568;;dell vostro 3568;;;;;;;;;;;;;;;
ноутбук;dell;inspiron;5368;;dell inspiron 5368;;;;;;;;;;;;;;;
ноутбук;dell;inspiron;5378;;dell inspiron 5378;;;;;;;;;;;;;;;
ноутбук;dell;inspiron;5520;;dell inspiron 5520;;;;;;;;;;;;;;;
ноутбук;dell;inspiron;5521;;dell inspiron 5521;;;;;;;;;;;;;;;
ноутбук;dell;inspiron;5537;;dell inspiron 5537;;;;;;;;;;;;;;;
ноутбук;dell;inspiron;5565;;dell inspiron 5565;;;;;;;;;;;;;;;
ноутбук;dell;inspiron;5570;;dell inspiron 5570;;;;;;;;;;;;;;;
ноутбук;dell;inspiron;5720;;dell inspiron 5720;;;;;;;;;;;;;;;
ноутбук;dell;inspiron;5737;;dell inspiron 5737;;;;;;;;;;;;;;;
ноутбук;dell;inspiron;7520;;dell inspiron 7520;;;;;;;;;;;;;;;
ноутбук;dell;inspiron;7559;;dell inspiron 7559;;;;;;;;;;;;;;;
ноутбук;dell;inspiron;7567;;dell inspiron 7567;;;;;;;;;;;;;;;
ноутбук;dell;inspiron;7720;;dell inspiron 7720;;;;;;;;;;;;;;;
ноутбук;dell;xps;159560;;dell xps 159560;;;;;;;;;;;;;;;
ноутбук;dell;inspiron;3162538;;dell inspiron 3162538;;;;;;;;;;;;;;;
планшет;dell;XPS;10 Tablet 32Gb ;;dell XPS 10 Tablet 32Gb ;;;;;;;;;;;;;;;
планшет;dell;XPS;10 Tablet 32Gb dock ;;dell XPS 10 Tablet 32Gb dock ;;;;;;;;;;;;;;;
планшет;dell;XPS;10 Tablet 64Gb ;;dell XPS 10 Tablet 64Gb ;;;;;;;;;;;;;;;
планшет;dell;Latitude;11 128Gb ;;dell Latitude 11 128Gb ;;;;;;;;;;;;;;;
планшет;dell;Latitude;11 128Gb 4G ;;dell Latitude 11 128Gb 4G ;;;;;;;;;;;;;;;
планшет;dell;Latitude;11 256Gb ;;dell Latitude 11 256Gb ;;;;;;;;;;;;;;;
планшет;dell;Latitude;11 256Gb 4G ;;dell Latitude 11 256Gb 4G ;;;;;;;;;;;;;;;
планшет;dell;Venue;11 Pro 64Gb ;;dell Venue 11 Pro 64Gb ;;;;;;;;;;;;;;;
планшет;dell;Venue;11 Pro 64Gb 3G ;;dell Venue 11 Pro 64Gb 3G ;;;;;;;;;;;;;;;
планшет;dell;Venue;11 Pro i3 128Gb ;;dell Venue 11 Pro i3 128Gb ;;;;;;;;;;;;;;;
планшет;dell;Venue;11 Pro i3 128Gb 3G ;;dell Venue 11 Pro i3 128Gb 3G ;;;;;;;;;;;;;;;
планшет;dell;Venue;11 Pro i5 128Gb ;;dell Venue 11 Pro i5 128Gb ;;;;;;;;;;;;;;;
планшет;dell;Venue;11 Pro i5 256Gb ;;dell Venue 11 Pro i5 256Gb ;;;;;;;;;;;;;;;
ноутбук;dell;studio;14z ;;dell studio 14z ;;;;;;;;;;;;;;;
ноутбук;dell;xps;15z ;;dell xps 15z ;;;;;;;;;;;;;;;
планшет;dell;Venue;7 16Gb ;;dell Venue 7 16Gb ;;;;;;;;;;;;;;;
планшет;dell;Streak;7 16Gb ;;dell Streak 7 16Gb ;;;;;;;;;;;;;;;
планшет;dell;Venue;7 16Gb 3G ;;dell Venue 7 16Gb 3G ;;;;;;;;;;;;;;;
планшет;dell;Streak;7 16Gb 3G ;;dell Streak 7 16Gb 3G ;;;;;;;;;;;;;;;
планшет;dell;Latitude;7285 i5 8Gb 256Gb LTE ;;dell Latitude 7285 i5 8Gb 256Gb LTE ;;;;;;;;;;;;;;;
планшет;dell;Latitude;7285 i5 8Gb 256Gb LTE keyboard ;;dell Latitude 7285 i5 8Gb 256Gb LTE keyboard ;;;;;;;;;;;;;;;
планшет;dell;Latitude;7285 i5 8Gb 256Gb WiFi ;;dell Latitude 7285 i5 8Gb 256Gb WiFi ;;;;;;;;;;;;;;;
планшет;dell;Venue;8 16Gb ;;dell Venue 8 16Gb ;;;;;;;;;;;;;;;
планшет;dell;Venue;8 32Gb ;;dell Venue 8 32Gb ;;;;;;;;;;;;;;;
планшет;dell;Venue;8 32Gb 3G ;;dell Venue 8 32Gb 3G ;;;;;;;;;;;;;;;
планшет;dell;Venue;8 Pro 32Gb ;;dell Venue 8 Pro 32Gb ;;;;;;;;;;;;;;;
планшет;dell;Venue;8 Pro 64Gb ;;dell Venue 8 Pro 64Gb ;;;;;;;;;;;;;;;
планшет;dell;Venue;8 Pro 64Gb 3G ;;dell Venue 8 Pro 64Gb 3G ;;;;;;;;;;;;;;;
ноутбук;dell;xps;m1330 ;;dell xps m1330 ;;;;;;;;;;;;;;;
ноутбук;dell;xps;m1530 ;;dell xps m1530 ;;;;;;;;;;;;;;;
ноутбук;dell;inspiron;m5010 ;;dell inspiron m5010 ;;;;;;;;;;;;;;;
ноутбук;dell;inspiron;m5110 ;;dell inspiron m5110 ;;;;;;;;;;;;;;;
ноутбук;dell;inspiron;n4050 ;;dell inspiron n4050 ;;;;;;;;;;;;;;;
ноутбук;dell;inspiron;n5010 ;1;dell inspiron n5010 ;;;;;;;;;;;;;;;
ноутбук;dell;inspiron;n5110 ;1;dell inspiron n5110 ;;;;;;;;;;;;;;;
ноутбук;dell;inspiron;n7010 ;;dell inspiron n7010 ;;;;;;;;;;;;;;;
планшет;dell;Latitude;ST 128Gb ;;dell Latitude ST 128Gb ;;;;;;;;;;;;;;;
планшет;hp;Slate;2;;hp Slate 2;;;;;;;;;;;;;;;
планшет;hp;Slate;7;;hp Slate 7;;;;;;;;;;;;;;;
планшет;hp;Omni;10;;hp Omni 10;;;;;;;;;;;;;;;
ноутбук;hp;envy;15;;hp envy 15;;;;;;;;;;;;;;;
планшет;hp;Slate;500;;hp Slate 500;;;;;;;;;;;;;;;
планшет;hp;x2;10 Z8350 4Gb 64Gb ;;hp x2 10 Z8350 4Gb 64Gb ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;15 b055sr ;;hp pavilion 15 b055sr ;;;;;;;;;;;;;;;
ноутбук;hp;omen;15 ce014ur ;;hp omen 15 ce014ur ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;15 n001sr ;;hp pavilion 15 n001sr ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;15 n005sr ;;hp pavilion 15 n005sr ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;15 n063sr ;;hp pavilion 15 n063sr ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;15 n068sr ;;hp pavilion 15 n068sr ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;15 n206sr ;;hp pavilion 15 n206sr ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;15 p165nr ;;hp pavilion 15 p165nr ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;15 p170nr ;;hp pavilion 15 p170nr ;;;;;;;;;;;;;;;
планшет;hp;TouchPad;16Gb ;;hp TouchPad 16Gb ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;17 e004er ;;hp pavilion 17 e004er ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;17 e016sr ;;hp pavilion 17 e016sr ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;17 f004sr ;;hp pavilion 17 f004sr ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;17 f059sr ;;hp pavilion 17 f059sr ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;17 f103nr ;;hp pavilion 17 f103nr ;;;;;;;;;;;;;;;
ноутбук;hp;envy;17 j015sr ;;hp envy 17 j015sr ;;;;;;;;;;;;;;;
ноутбук;hp;envy;17 j121sr ;;hp envy 17 j121sr ;;;;;;;;;;;;;;;
ноутбук;hp;envy;17 j123sr ;;hp envy 17 j123sr ;;;;;;;;;;;;;;;
ноутбук;hp;2000;2d00sr ;;hp 2000 2d00sr ;;;;;;;;;;;;;;;
планшет;hp;TouchPad;32Gb ;;hp TouchPad 32Gb ;;;;;;;;;;;;;;;
ноутбук;hp;probook;455 g4 ;;hp probook 455 g4 ;;;;;;;;;;;;;;;
ноутбук;hp;compaq;6830s ;;hp compaq 6830s ;;;;;;;;;;;;;;;
планшет;hp;Envy;8 Note 32Gb ;;hp Envy 8 Note 32Gb ;;;;;;;;;;;;;;;
планшет;hp;Envy;8 Note 32Gb keyboard ;;hp Envy 8 Note 32Gb keyboard ;;;;;;;;;;;;;;;
ноутбук;hp;g62;a84er ;;hp g62 a84er ;;;;;;;;;;;;;;;
ноутбук;hp;15;ay048ur ;;hp 15 ay048ur ;;;;;;;;;;;;;;;
ноутбук;hp;15;ba526ur ;;hp 15 ba526ur ;;;;;;;;;;;;;;;
ноутбук;hp;15;ba548ur ;;hp 15 ba548ur ;;;;;;;;;;;;;;;
ноутбук;hp;15;ba579ur ;;hp 15 ba579ur ;;;;;;;;;;;;;;;
ноутбук;hp;15;bs029ur ;;hp 15 bs029ur ;;;;;;;;;;;;;;;
ноутбук;hp;15;d000sr ;;hp 15 d000sr ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;dm3 ;;hp pavilion dm3 ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;dm3 1030er ;;hp pavilion dm3 1030er ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;dv5 1164er ;;hp pavilion dv5 1164er ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;dv5 1168er ;;hp pavilion dv5 1168er ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;dv5 1221er ;;hp pavilion dv5 1221er ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;dv5 1240er ;;hp pavilion dv5 1240er ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;dv6 2019er ;1;hp pavilion dv6 2019er ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;dv6 3056er ;;hp pavilion dv6 3056er ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;dv6 3107er ;;hp pavilion dv6 3107er ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;dv6 3109er ;;hp pavilion dv6 3109er ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;dv6 3125er ;;hp pavilion dv6 3125er ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;dv6 3305er ;;hp pavilion dv6 3305er ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;dv6 6029sr ;;hp pavilion dv6 6029sr ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;dv6 6176er ;;hp pavilion dv6 6176er ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;dv6 6b54er ;;hp pavilion dv6 6b54er ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;dv6 6c05er ;;hp pavilion dv6 6c05er ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;dv6 6c55er ;;hp pavilion dv6 6c55er ;;;;;;;;;;;;;;;
ноутбук;hp;envy;dv6 7251er ;;hp envy dv6 7251er ;;;;;;;;;;;;;;;
ноутбук;hp;envy;dv6 7252er ;;hp envy dv6 7252er ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;dv6640er ;;hp pavilion dv6640er ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;dv6840er ;;hp pavilion dv6840er ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;dv7 3050er ;;hp pavilion dv7 3050er ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;dv7 4300 ;;hp pavilion dv7 4300 ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;dv7 6000 ;;hp pavilion dv7 6000 ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;dv7 6052er ;;hp pavilion dv7 6052er ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;dv7 6053er ;;hp pavilion dv7 6053er ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;dv7 7006er ;;hp pavilion dv7 7006er ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;dv8 ;;hp pavilion dv8 ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;dv9000 ;;hp pavilion dv9000 ;;;;;;;;;;;;;;;
ноутбук;hp;15;g001sr ;;hp 15 g001sr ;;;;;;;;;;;;;;;
ноутбук;hp;15;g070sr ;;hp 15 g070sr ;;;;;;;;;;;;;;;
ноутбук;hp;250;g5 ;;hp 250 g5 ;;;;;;;;;;;;;;;
ноутбук;hp;250;g6 ;;hp 250 g6 ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;g6 1027er ;;hp pavilion g6 1027er ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;g6 1106er ;;hp pavilion g6 1106er ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;g6 1205er ;;hp pavilion g6 1205er ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;g6 1216er ;;hp pavilion g6 1216er ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;g6 1305er ;;hp pavilion g6 1305er ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;g6 1341er ;;hp pavilion g6 1341er ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;g6 2012er ;;hp pavilion g6 2012er ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;g6 2100 ;;hp pavilion g6 2100 ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;g6 2300 ;;hp pavilion g6 2300 ;;;;;;;;;;;;;;;
ноутбук;hp;pavilion;g7 2000 ;;hp pavilion g7 2000 ;;;;;;;;;;;;;;;
ноутбук;hp;envy;m6 1150er ;;hp envy m6 1150er ;;;;;;;;;;;;;;;
ноутбук;hp;envy;m6 1153er ;;hp envy m6 1153er ;;;;;;;;;;;;;;;
ноутбук;hp;compaq;nc4200 ;;hp compaq nc4200 ;;;;;;;;;;;;;;;
ноутбук;hp;compaq;nx6110 ;;hp compaq nx6110 ;;;;;;;;;;;;;;;
ноутбук;hp;compaq;nx6125 ;;hp compaq nx6125 ;;;;;;;;;;;;;;;
ноутбук;hp;compaq;nx6310 ;;hp compaq nx6310 ;;;;;;;;;;;;;;;
ноутбук;hp;compaq;nx7400 ;;hp compaq nx7400 ;;;;;;;;;;;;;;;
ноутбук;hp;compaq;nx8220 ;;hp compaq nx8220 ;;;;;;;;;;;;;;;
ноутбук;hp;15;r151nr ;;hp 15 r151nr ;;;;;;;;;;;;;;;
ноутбук;hp;15;r161nr ;;hp 15 r161nr ;;;;;;;;;;;;;;;
ноутбук;hp;15;r272ur ;;hp 15 r272ur ;;;;;;;;;;;;;;;
планшет;hp;Pro;Slate 10 Tablet 16Gb ;;hp Pro Slate 10 Tablet 16Gb ;;;;;;;;;;;;;;;
планшет;hp;Pro;Tablet 10 16Gb ;;hp Pro Tablet 10 16Gb ;;;;;;;;;;;;;;;
ноутбук;hp;touchsmart;tm2 2050er ;;hp touchsmart tm2 2050er ;;;;;;;;;;;;;;;
планшет;hp;Elite;x2 1011 128Gb ;;hp Elite x2 1011 128Gb ;;;;;;;;;;;;;;;
планшет;HP;Elite;x2 1012 256Gb ;;HP Elite x2 1012 256Gb ;;;;;;;;;;;;;;;
планшет;hp;Elite;x2 1012 m7 256Gb ;;hp Elite x2 1012 m7 256Gb ;;;;;;;;;;;;;;;
планшет;hp;Pavilion;x2 12 128Gb ;;hp Pavilion x2 12 128Gb ;;;;;;;;;;;;;;;
планшет;HP;Elite;x2 256Gb ;;HP Elite x2 256Gb ;;;;;;;;;;;;;;;
планшет;HP;Pro;x2 612 180Gb ;;HP Pro x2 612 180Gb ;;;;;;;;;;;;;;;
планшет;HP;Pro;x2 612 256Gb ;;HP Pro x2 612 256Gb ;;;;;;;;;;;;;;;
планшет;HP;Pro;x2 612 256Gb 4G ;;HP Pro x2 612 256Gb 4G ;;;;;;;;;;;;;;;
планшет;hp;Pro;x2 612 i5 256Gb ;;hp Pro x2 612 i5 256Gb ;;;;;;;;;;;;;;;
планшет;hp;Pavilion;X2 Home 32Gb ;;hp Pavilion X2 Home 32Gb ;;;;;;;;;;;;;;;
планшет;hp;Pavilion;X2 Z3736F 32Gb ;;hp Pavilion X2 Z3736F 32Gb ;;;;;;;;;;;;;;;
ноутбук;hp;17;y009ur ;;hp 17 y009ur ;;;;;;;;;;;;;;;
телефон;HTC;U;11;;HTC U 11;;;;;;;;;;;;;;;
телефон;HTC;Desire;650;;HTC Desire 650;;;;;;;;;;;;;;;
телефон;HTC;Desire;728;1;HTC Desire 728;;;;;;;;;;;;;;;
телефон;HTC;Lead; ;;HTC Lead  ;;;;;;;;;;;;;;;
телефон;HTC;Desire;10 pro ;;HTC Desire 10 pro ;;;;;;;;;;;;;;;
телефон;HTC;U11;128Gb ;;HTC U11 128Gb ;;;;;;;;;;;;;;;
телефон;HTC;One;16Gb ;;HTC One 16Gb ;;;;;;;;;;;;;;;
телефон;HTC;Desire;210 dual sim ;1;HTC Desire 210 dual sim ;;;;;;;;;;;;;;;
телефон;HTC;Desire;310 Dual Sim ;1;HTC Desire 310 Dual Sim ;;;;;;;;;;;;;;;
телефон;HTC;Desire;326G Dual Sim ;1;HTC Desire 326G Dual Sim ;;;;;;;;;;;;;;;
телефон;HTC;One;32Gb ;;HTC One 32Gb ;;;;;;;;;;;;;;;
телефон;HTC;EVO;3D ;1;HTC EVO 3D ;;;;;;;;;;;;;;;
телефон;HTC;Desire;400 Dual Sim ;1;HTC Desire 400 Dual Sim ;;;;;;;;;;;;;;;
телефон;HTC;MAX;4G ;;HTC MAX 4G ;;;;;;;;;;;;;;;
телефон;HTC;Evo;4G ;;HTC Evo 4G ;;;;;;;;;;;;;;;
телефон;HTC;Desire;500 dual ;1;HTC Desire 500 dual ;;;;;;;;;;;;;;;
телефон;HTC;Desire;500 Dual SIM ;1;HTC Desire 500 Dual SIM ;;;;;;;;;;;;;;;
телефон;HTC;Desire;516 dual sim ;1;HTC Desire 516 dual sim ;;;;;;;;;;;;;;;
телефон;HTC;Desire;526G Dual Sim ;1;HTC Desire 526G Dual Sim ;;;;;;;;;;;;;;;
телефон;HTC;Desire;600 Dual Sim ;1;HTC Desire 600 Dual Sim ;;;;;;;;;;;;;;;
телефон;HTC;Desire;601 dual sim ;1;HTC Desire 601 dual sim ;;;;;;;;;;;;;;;
телефон;HTC;Desire;616 Dual sim ;1;HTC Desire 616 Dual sim ;;;;;;;;;;;;;;;
телефон;HTC;Desire;620 dual sim ;1;HTC Desire 620 dual sim ;;;;;;;;;;;;;;;
телефон;HTC;Desire;620G dual sim ;1;HTC Desire 620G dual sim ;;;;;;;;;;;;;;;
телефон;HTC;Desire;626G Dual Sim ;1;HTC Desire 626G Dual Sim ;;;;;;;;;;;;;;;
телефон;HTC;Desire;628 Dual Sim ;1;HTC Desire 628 Dual Sim ;;;;;;;;;;;;;;;
телефон;HTC;Desire;630 Dual Sim ;1;HTC Desire 630 Dual Sim ;;;;;;;;;;;;;;;
телефон;HTC;One;64Gb ;;HTC One 64Gb ;;;;;;;;;;;;;;;
телефон;HTC;10;64Gb ;;HTC 10 64Gb ;;;;;;;;;;;;;;;
телефон;HTC;Desire;700 dual sim ;1;HTC Desire 700 dual sim ;;;;;;;;;;;;;;;
телефон;HTC;Desire;728G Dual Sim ;1;HTC Desire 728G Dual Sim ;;;;;;;;;;;;;;;
телефон;HTC;Desire;816 Dual sim ;1;HTC Desire 816 Dual sim ;;;;;;;;;;;;;;;
телефон;HTC;Desire;816G dual sim ;;HTC Desire 816G dual sim ;;;;;;;;;;;;;;;
телефон;HTC;Desire;820 dual sim ;;HTC Desire 820 dual sim ;;;;;;;;;;;;;;;
телефон;HTC;Desire;826 Dual Sim ;;HTC Desire 826 Dual Sim ;;;;;;;;;;;;;;;
телефон;HTC;Desire;830 Dual Sim ;;HTC Desire 830 Dual Sim ;;;;;;;;;;;;;;;
планшет;htc;Nexus;9 32Gb LTE ;;htc Nexus 9 32Gb LTE ;;;;;;;;;;;;;;;
телефон;HTC;Explorer;A310e ;;HTC Explorer A310e ;;;;;;;;;;;;;;;
телефон;HTC;Touch;Diamond P3700 ;;HTC Touch Diamond P3700 ;;;;;;;;;;;;;;;
телефон;HTC;Touch;Diamond2 ;;HTC Touch Diamond2 ;;;;;;;;;;;;;;;
телефон;HTC;One;Dual Sim ;1;HTC One Dual Sim ;;;;;;;;;;;;;;;
телефон;HTC;One;E8 dual sim ;1;HTC One E8 dual sim ;;;;;;;;;;;;;;;
телефон;HTC;One;E9 ;1;HTC One E9 ;;;;;;;;;;;;;;;
телефон;HTC;One;E9s dual sim ;1;HTC One E9s dual sim ;;;;;;;;;;;;;;;
телефон;HTC;10;Evo ;;HTC 10 Evo ;;;;;;;;;;;;;;;
телефон;HTC;10;Evo 64GB ;;HTC 10 Evo 64GB ;;;;;;;;;;;;;;;
телефон;HTC;Desire;L ;;HTC Desire L ;;;;;;;;;;;;;;;
телефон;HTC;U11;Life ;;HTC U11 Life ;;;;;;;;;;;;;;;
телефон;HTC;One;M10 ;;HTC One M10 ;;;;;;;;;;;;;;;
телефон;HTC;One;M7 ;1;HTC One M7 ;;;;;;;;;;;;;;;
телефон;HTC;One;M8 Dual Sim ;1;HTC One M8 Dual Sim ;;;;;;;;;;;;;;;
телефон;HTC;One;M8 Eye ;;HTC One M8 Eye ;;;;;;;;;;;;;;;
телефон;HTC;One;Max 16Gb ;;HTC One Max 16Gb ;;;;;;;;;;;;;;;
телефон;HTC;One;ME Dual Sim ;;HTC One ME Dual Sim ;;;;;;;;;;;;;;;
телефон;HTC;HD;mini ;;HTC HD mini ;;;;;;;;;;;;;;;
телефон;HTC;7;Mozart ;;HTC 7 Mozart ;;;;;;;;;;;;;;;
телефон;HTC;Google;Nexus One ;;HTC Google Nexus One ;;;;;;;;;;;;;;;
телефон;HTC;Nexus;One ;;HTC Nexus One ;;;;;;;;;;;;;;;
телефон;HTC;U;Play ;1;HTC U Play ;;;;;;;;;;;;;;;
телефон;HTC;U;Play 64Gb ;;HTC U Play 64Gb ;;;;;;;;;;;;;;;
телефон;HTC;U11;Plus ;;HTC U11 Plus ;;;;;;;;;;;;;;;
телефон;HTC;U11;Plus 128GB ;;HTC U11 Plus 128GB ;;;;;;;;;;;;;;;
телефон;HTC;7;Pro ;;HTC 7 Pro ;;;;;;;;;;;;;;;
телефон;HTC;Wildfire;S ;1;HTC Wildfire S ;;;;;;;;;;;;;;;
телефон;HTC;Rhyme;s510b ;;HTC Rhyme s510b ;;;;;;;;;;;;;;;
телефон;HTC;Desire;U Dual Sim ;;HTC Desire U Dual Sim ;;;;;;;;;;;;;;;
планшет;htc;Flyer;Wi-Fi 3G 32Gb ;;htc Flyer Wi-Fi 3G 32Gb ;;;;;;;;;;;;;;;
телефон;HTC;Desire;X ;1;HTC Desire X ;;;;;;;;;;;;;;;
телефон;HTC;Desire;X Dual Sim ;1;HTC Desire X Dual Sim ;;;;;;;;;;;;;;;
телефон;HTC;One;X10 ;1;HTC One X10 ;;;;;;;;;;;;;;;
телефон;HTC;One;X9 Dual Sim ;1;HTC One X9 Dual Sim ;;;;;;;;;;;;;;;
телефон;HTC;J;Z321e ;;HTC J Z321e ;;;;;;;;;;;;;;;
телефон;Huawei;Nova;2;1;Huawei Nova 2;;;;;;;;;;;;;;;
телефон;Huawei;Honor;2;1;Huawei Honor 2;;;;;;;;;;;;;;;
телефон;Huawei;Y5;2;;Huawei Y5 2;;;;;;;;;;;;;;;
телефон;Huawei;Honor;9;1;Huawei Honor 9;;;;;;;;;;;;;;;
телефон;Huawei;Mate;9;1;Huawei Mate 9;;;;;;;;;;;;;;;
телефон;Huawei;Mate;10;1;Huawei Mate 10;;;;;;;;;;;;;;;
телефон;Huawei;Y3;2017;1;Huawei Y3 2017;;;;;;;;;;;;;;;
